number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves,params_scale_pos_weight,user_attrs_best_iter,state
28,0.5527887832960522,2026-06-15 03:52:08.178808,2026-06-15 03:52:10.394241,0 days 00:00:02.215433,0.6590858209667213,5,0.5017295608840622,9.725821740233815e-05,2.7216948655534415e-05,0.10791781683234965,56,29,9.263074178263457,223,COMPLETE
29,0.5406304685442505,2026-06-15 03:52:10.394270,2026-06-15 03:52:11.660211,0 days 00:00:01.265941,0.5301732201057903,3,0.7660973034533063,2.7443544698927377e-07,0.2677077864974898,0.2796672596270556,89,120,23.958497634508504,45,COMPLETE
30,0.581172628106097,2026-06-15 03:52:11.660238,2026-06-15 03:52:16.606414,0 days 00:00:04.946176,0.5805178271062279,6,0.6144578795467502,0.001972647944102192,6.812522538490131e-07,0.0847011032939874,113,95,4.309841646479075,150,COMPLETE
31,0.586006331950012,2026-06-15 03:52:16.606508,2026-06-15 03:52:26.714128,0 days 00:00:10.107620,0.5044616846852855,4,0.6796018208553076,0.0002896606683142024,0.003919837864507243,0.08688889328020725,96,128,1.067230263556306,155,COMPLETE
32,0.59181991942612,2026-06-15 03:52:26.714167,2026-06-15 03:52:31.999565,0 days 00:00:05.285398,0.5027586506871949,4,0.5661546799916224,0.0012369591048819765,0.008342879061059348,0.15283001179887615,106,128,1.0371270806776152,77,COMPLETE
33,0.5567393846618537,2026-06-15 03:52:31.999614,2026-06-15 03:52:36.045211,0 days 00:00:04.045597,0.5389539978994067,4,0.5777853244552633,0.22925238270476894,0.04734169304072865,0.15457345442754666,125,113,5.427476159584238,56,COMPLETE
34,0.5648955385825195,2026-06-15 03:52:36.045257,2026-06-15 03:52:42.633871,0 days 00:00:06.588614,0.5658634717040606,5,0.5560222601778143,0.023722536447543564,0.0011315110901017166,0.11852677946318,111,121,10.761282431102767,119,COMPLETE
35,0.5854126313915741,2026-06-15 03:52:42.634058,2026-06-15 03:52:54.125077,0 days 00:00:11.491019,0.5323253108997928,3,0.6218033559080447,2.14495290416767e-06,9.029322870244985e-05,0.055354697635372964,63,106,3.975011052343957,209,COMPLETE
36,0.5341478263548219,2026-06-15 03:52:54.125120,2026-06-15 03:52:58.093628,0 days 00:00:03.968508,0.5685308986167611,4,0.9899226356996808,7.502194861720513e-05,0.2878313828616275,0.2088682097806658,140,124,56.54325475270902,49,COMPLETE
37,0.5569767491275542,2026-06-15 03:52:58.093662,2026-06-15 03:53:05.526790,0 days 00:00:07.433128,0.50136990709905,2,0.5053066685984562,1.2820848136964138,0.009021137730545279,0.03189543996717886,81,115,34.80823740323681,300,COMPLETE
38,0.5567053331094588,2026-06-15 03:53:05.526821,2026-06-15 03:53:07.342457,0 days 00:00:01.815636,0.6034201181573119,5,0.8096489905274056,0.0013559586982186303,0.00046847741824793235,0.10746710772896577,107,96,15.429625177469434,89,COMPLETE
39,0.5440941189254334,2026-06-15 03:53:07.342486,2026-06-15 03:53:09.017956,0 days 00:00:01.675470,0.6301901857836707,3,0.5641983832806924,0.0001796834210498165,0.07160779692035021,0.23108445363149416,51,123,39.91736403606577,60,COMPLETE
40,0.5672618865448302,2026-06-15 03:53:09.017982,2026-06-15 03:53:11.626752,0 days 00:00:02.608770,0.6932640206213845,6,0.7423164549504003,0.011317734521758003,1.0246435581644426e-05,0.1568014976943124,157,77,8.704634492157815,170,COMPLETE
41,0.5901133489078058,2026-06-15 03:53:11.626780,2026-06-15 03:53:14.962717,0 days 00:00:03.335937,0.5226643949289808,4,0.634760180273385,0.0007183846074013196,0.003384617378538396,0.08826694917451919,90,128,1.0945801500546042,164,COMPLETE
42,0.5864165075507717,2026-06-15 03:53:14.962744,2026-06-15 03:53:19.446145,0 days 00:00:04.483401,0.5250292629543737,4,0.6990595178965818,0.003066437027850685,0.0003021431945218362,0.08379283835990713,71,118,2.788646804425498,241,COMPLETE
43,0.5706508430526777,2026-06-15 03:53:19.446174,2026-06-15 03:53:22.374805,0 days 00:00:02.928631,0.554669956170719,4,0.6726307440610461,0.000488227185116464,0.0016939896125907614,0.07559308781144156,89,124,6.709014840215451,138,COMPLETE
44,0.5877068802739537,2026-06-15 03:53:22.374833,2026-06-15 03:53:24.963169,0 days 00:00:02.588336,0.5836957857727564,5,0.6367558577807739,5.49972227669036e-05,0.006570022590901728,0.09771414560484203,122,128,1.0872314241524261,118,COMPLETE
45,0.580211559777119,2026-06-15 03:53:24.963196,2026-06-15 03:53:29.307596,0 days 00:00:04.344400,0.5248113415631834,3,0.5341276215056197,0.04419674149267396,0.03406450572176725,0.13287594705503228,35,110,3.9120573416913444,233,COMPLETE
46,0.581210017654027,2026-06-15 03:53:29.307625,2026-06-15 03:53:34.553226,0 days 00:00:05.245601,0.8716671434851786,5,0.586787502664519,0.0014055194998704946,0.00018323008649237136,0.09616495551817635,90,115,13.222742531896987,298,COMPLETE
47,0.5585618998234436,2026-06-15 03:53:34.553255,2026-06-15 03:53:36.677245,0 days 00:00:02.123990,0.5232128006916703,4,0.6188973894581795,8.73109516999585e-06,0.0016686209308969578,0.11170924865400816,105,44,7.50729684976649,184,COMPLETE
48,0.5768627443042289,2026-06-15 03:53:36.677272,2026-06-15 03:53:39.169384,0 days 00:00:02.492112,0.5615448400625738,2,0.6596089165136992,0.007731766516751328,0.17950163511391065,0.13992713442688187,145,124,2.7401405581213183,112,COMPLETE
49,0.566889965071202,2026-06-15 03:53:39.169413,2026-06-15 03:53:44.390625,0 days 00:00:05.221212,0.5020293241937002,4,0.8970022325067679,0.2340796228547695,0.01064814463727142,0.03988507091107884,180,109,10.89197884553848,300,COMPLETE
50,0.5798867656310922,2026-06-15 03:53:44.390656,2026-06-15 03:53:46.135731,0 days 00:00:01.745075,0.7695917542175289,6,0.6058156225445198,0.00026747574614571545,5.895894385020136e-05,0.17874815676718447,128,117,5.37811485954939,73,COMPLETE
51,0.5857602261214003,2026-06-15 03:53:46.135758,2026-06-15 03:53:49.432931,0 days 00:00:03.297173,0.5250402669036613,3,0.6430087532576847,0.0005728875278321822,0.0030962603381762964,0.09429488427737417,101,128,3.0458483039064737,158,COMPLETE
52,0.5725666581831159,2026-06-15 03:53:49.432963,2026-06-15 03:53:53.106866,0 days 00:00:03.673903,0.5189224797434495,4,0.7012481270728053,0.002986924228430123,0.0007112108477625366,0.07527815190489254,96,124,7.183224717179949,181,COMPLETE
53,0.5906404166517469,2026-06-15 03:53:53.106895,2026-06-15 03:53:56.786239,0 days 00:00:03.679344,0.5015039709498881,5,0.6802702430039091,0.001087900677027682,0.0030390710413960857,0.12342986682455184,118,120,1.1342683870516612,190,COMPLETE
54,0.5884141713860338,2026-06-15 03:53:56.786269,2026-06-15 03:53:59.550732,0 days 00:00:02.764463,0.9888455338600703,5,0.7334143902746388,0.0056563227295866455,1.330946363536672e-08,0.12437130434865593,119,119,1.0710448447049001,136,COMPLETE
55,0.5670169222181343,2026-06-15 03:53:59.550760,2026-06-15 03:54:01.168163,0 days 00:00:01.617403,0.5536593185712487,5,0.6879010136360367,0.0012044472214751474,0.002404467419002416,0.1622535830762803,77,111,3.7590518296804944,63,COMPLETE
